'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-01-08','05:40','Gedimino pr. 2','BPC','Netoli banko "Citadele" gulbë ant ðaligatvio.','','Alvydas Biliûnas','Nuvykus á vieta ir priëjus arèiau jos gulbë nuskrido.','','2017-01-08','06:10'
2,'2017-01-08','07:10','Kalvarijø 26','','Negyvas ðuo ðaligatvyje.','','Alvydas Biliûnas','Gyventojas atskambino , kad ðuná pasiëmë patys ðeimininkai.','','2017-01-08','07:15'
3,'2017-01-08','08:00','Tûkstantmeèio Paneriø sank.','Marðruto apvaþiavimas','Patikrinta gairë prie ðulinio vaþiuojamoje dalyje.','','Alvydas Biliûnas','Gairë su þibintu buvo rasta nustumta nuo ðulinio. Atstatyta á vieta.','','2017-01-08','08:10'
4,'2017-01-08','08:15','Vakarinis aplinkelis Asanavièiûtës sank.','vaþiuojant pastebëta.','Skardos gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-08','08:20'
5,'2017-01-08','08:25','Taikos 123','vaþiuojant pastebëta','Prie stotelës "Atþalyno" ðiukðliø konteineris iðstumtas á vaþiuojamajà dalá','','Alvydas Biliûnas','Nuo vaþiuojamos dalies patrauktas atstatytas á vieta.','','2017-01-08','08:30'
6,'2017-01-08','08:25','Talino 73','vaþiuojant pastebëta','Padanga vaþiuojamoje dalyje.','','Alvydas Biliûnas','Paimta, iðveþta (1vnt)','','2017-01-08','08:25'
7,'2017-01-08','08:35','Ukmergës 427','vaþiuojant pastebëta','Ties apsisukimu á Tarande duslintuvo gabalas.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-08','08:40'
8,'2017-01-08','08:42','Ukmergës','vaþiuojant pastebëta','Praviras ðulinys vaþ. dalyje.','','Alvydas Biliûnas','Korpusas ðulinio iðvalytas dangtis ástatytas á vieta.','','2017-01-08','08:45'
9,'2017-01-08','08:50','Ukmergës 284','vaþiuojant pastebëta','Vaþiuojamoje dalyje bamperio gabalas.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-08','08:50'
10,'2017-01-08','09:00','Geleþinio vilko tunelyje','vaþiuojant pastebëta','Lentos gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-01-08','09:00'
11,'2017-01-08','09:05','Geleþinio vilko viadukas','vaþiuojant pastebëta','Nuversta gairë nuo ðulinio.','','Alvydas Biliûnas','Gairë atstatyta á vieta.','','2017-01-08','09:05'
12,'2017-01-08','09:20','Justiniðkiø 16','BPC','Ið ðulinio teka vanduo.','vandentiekio avarinë tel.1889','Alvydas Biliûnas','Ánformacijà perduota,','','2017-01-08','09:25'
13,'2017-01-08','09:30','Geleþinio vilko','vaþiuojant pastebëta.','Padangos ðaligatvyje.','','Alvydas Biliûnas','Paimtos, iðveþtos (2vnt)','','2017-01-08','09:33'
14,'2017-01-08','11:00','Þirniø 6','vaþiuojant pastebëta','Medienos atraiþos ant vaþ. dalies.','','Alvydas Biliûnas','Surinktos , iðveþtos.','','2017-01-08','11:08'
15,'2017-01-08','11:00','Pergalës sankr.','BPC','Vaþiuojamoje dalyje ledo gabalai.','','Alvydas Biliûnas','Surinkti sudëti kelkraðtyje.','','2017-01-08','11:50'
16,'2017-01-08','11:02','Liepkalnio sankr.','BPC','Automobiliø stovëjimo aikðtelëje prie PC"Norfa" atviras trapas.','','Alvydas Biliûnas','Trapo korpusas iðvalytas grotelës ástatytos á vieta.','','2017-01-08','11:25'
17,'2017-01-08','11:05','Liepkalnio 75','vaþiuojant pastebëta.','Vaþiuojamoje dalyje bamperio gabalas.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-08','11:06'
18,'2017-01-08','11:08','Liepkalnio 85B','vaþiuojant pastebëta.','Vaþiuojamoje dalyje putø polistirolo gabalai.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-08','11:15'
19,'2017-01-08','11:28','Minsko pl. Guriø sank.','vaþiuojant pastebëta.','Sulauþytas plastikinis bamperis vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-08','11:29'
20,'2017-01-08','11:32','Tolimoji 52','Pastebëta vaþiuojant','ratlankio gaubtas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-08','11:34'
21,'2017-01-08','11:42','Pergalës Dþiaugsmo sank.','vaþiuojant pastebëta.','Duþenos plastiko stiklo.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-08','11:52'
22,'2017-01-08','11:50','Pelesos Dzûkø sank.','Policija','Autoávikis','','Alvydas Biliûnas','Duþenos surinktos, iðveþtos vieta iðvalyta.','','2017-01-08','12:28'
