'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-01-28',,'Saulëtekio alëja 7A','BPC','Vaþiuojamoje gatvës dalyje atviras trapas.','','Alvydas Biliûnas','Uþdëtas nauju plastikiniu trapu.','','2017-01-28','12:15'
2,'2017-01-28','07:05','Savanoriø 40','BPC','Praviras ðulinys ties ávaþiavimu.','','Alvydas Biliûnas','Nuvykus pagal adresà atviro ðulinio nerasta.','','2017-01-28','07:36'
3,'2017-01-28','07:55','Liepkalnio 4A','','Darbai atlikti.','','Alvydas Biliûnas','Laikinas þenklas paimtas atveþtas á UAB"Grinda"','','2017-01-28',''
4,'2017-01-28','09:30','Naugarduko Þemaitës sank.','Policija','Duþenos vaþiuojamoje dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-28','09:58'
5,'2017-01-28','09:50','Þirmûnø 1B','BPC','Vaþiuojamoje dalyje padangos.','','Alvydas Biliûnas','Paimtos, iðveþtos (2vnt)','','2017-01-28','10:25'
6,'2017-01-28','10:00','Kalvarijø 98','BPC','Automobiliø stovëjimo aikðtelëjæ atviras trapas.','','Alvydas Biliûnas','Korpusas trapo iðvalytas grotelës ástatytos á vieta,','','2017-01-28','10:45'
7,'2017-01-28','10:05','Geleþinio vilko','vaþiuojant pastebëta.','Prieð tunelá vaþ. dalyje dusintuvo gabalas.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-28','10:08'
8,'2017-01-28','10:15','Rinktinës 4','pastebëta vaþiuojant','Lentos gabalas vaþiuojamoje dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-28','10:18'
9,'2017-01-28','10:27','Þirmûnø Lukðio sank.','Pastebëta vaþiuojant.','Plastikinio bamperio gabalas vaþ. dalyje.','','Alvydas Biliûnas','','','2017-01-28','10:30'
10,'2017-01-28','10:35','Ukmergës G. Vilko sank.','112','Duþenos po autoávikio.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-28','11:00'
11,'2017-01-28','10:40','Meistrø 2','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþtaisytos smëlio skaldos miðiniu (0,2m3)','','2017-01-28','11:16'
12,'2017-01-28','11:00','Tûkstantmeèio','vaþiuojant pastebëta','Ties posukiu á Burbiðkæs po viaduku medienos gabalai iðkritæ.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-28','11:05'
13,'2017-01-28','11:05','Gelvonø 49','vaþiuojant pastebëta.','Trapo grotelës iðkilusios vaþ. dalyje.','','Alvydas Biliûnas','Korpusas groteliø iðvalytas grotelës ástatytos á vieta.','','2017-01-28','11:13'
14,'2017-01-28','11:10','Eiðiðkiø pl. St.(Metelo)','Pastebëta vaþiuiojant.','Ledo gabalas vaþ. dalyje.','','Alvydas Biliûnas','Nustumtas á kelkraðtá.','','2017-01-28','11:12'
15,'2017-01-28','11:15','Ðilo 90','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,3m3)','','2017-01-28','11:57'
16,'2017-01-28','11:18','Meistrø 13','Pastebëta vaþiuojant.','Vaþiuojamoje dalyje sulankstytos skardos gabalas.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-28','11:20'
17,'2017-01-28','11:22','S. Neries 99','vaþiuojant pastebëta','Sulankstyto metalinio strypo gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-28','11:24'
18,'2017-01-28','11:40','Èiobiðkio 6','vaþiuojant pastebëta','Vaþiuojamoje dalyje buitinës ðiukðlës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-28','11:45'
19,'2017-01-28','11:50','Parko Geniø sank.','Vladimiras','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþtaisytos smëlio skaldos miðiniu (0,1m3)','','2017-01-28','12:35'
20,'2017-01-28','11:50','Pergalës Parko sank.','Vladimiras','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþtaisytos skaldos smëlio miðiniu (0,3m3)','','2017-01-28','12:50'
21,'2017-01-28','11:55','Justiniðkiø 14','vaþiuojant pastebëta.','Medþio droþliø plokðtës gabalai vaþ. dalyje.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-28','12:00'
22,'2017-01-28','12:05','Antakalnio Þirgo sank.','vaþiuojant pastebëta.','Padanga.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-01-28','12:10'
23,'2017-01-28','12:15','Gariûnø 16A','BPC','Kylant á kalnà uþ kalonëlës 1-moje juostoje atviras ðulinys.','El. paðtas UAB" Fegda"','Alvydas Biliûnas','Uþdengtas tuo paèiu dangèiu LN ðulinys. Juda visas ðulinio korpusas. Pastatyta vertikali gairë.','','2017-01-28','12:35'
24,'2017-01-28','12:20','Pakraðèio 10','BPC','Vaþiuojamoje dalyje duþenos statybinio blokelio.','','Alvydas Biliûnas','duþenos blokelio surinktos, iðveþtos.','','2017-01-28','13:05'
25,'2017-01-28','13:00','Tolimoji 44','','Uþ stotelës (Pavilnio sodai) negyvas ðuo.','','Alvydas Biliûnas','Paimtas nuveþtas á BGKT. L. Giros g.','','2017-01-28','13:45'
26,'2017-01-28','13:52','Ukmergës Po viaduku Ðeðkinës','pastebëta vaþiuojant','Sulauþytos  medinës dëþës gabalai.','','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-01-28','13:56'
27,'2017-01-28','14:00','Geleþinio vilko','vaþiuojant pastebëta','Vaþiuojant link tunelio automobilinio ratlankio gaubtas.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-28','14:03'
28,'2017-01-28','14:25','Þirmûnø lakûnø sank.','Policija','Autoávikis','','Alvydas Biliûnas','Duþenos surinktos, iðveþtos iðsiliejàs tepalas neutralizuotas sunaudota (10kg) sauso sorbento.','','2017-01-28','15:12'
29,'2017-01-28','16:10','Buivydiðkiø 26','112','Atviras ðulinys þaliojoje vejoje netoli pësèiûjø perëjos.','','Alvydas Biliûnas','Uþdengtas tuo paèiu G/B dangèiu kuris buvo nustumtas nuo ðulinio.','','2017-01-28','16:40'
30,'2017-01-28','16:40','Paribio 30B','Policja','Ðiukðliø konteineris iðstumtas á gatvæ.','','Alvydas Biliûnas','Atstatytas á vieta.','','2017-01-28','17:00'
31,'2017-01-28','16:42','Ukmergës 140','pastebëta vaþiuojant','Vaþiuojamoje dalyje padanga.','','Alvydas Biliûnas','Paimta, iðveþta (1vnt)','','2017-01-28','16:46'
32,'2017-01-28','16:55','Narbuto','vaþiuojant pastebëta','Vaþiuojamoje dalyje statybinës ðiukðlës iðkritusios su maiðu.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-28','16:58'
33,'2017-01-28','17:10','Asanavièiûtës 8','pastebëta vaþiuojant','Medienos atraiþos iðkritusios ant vaþ. dalies.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-28','17:15'
34,'2017-01-28','17:20','Vakarinis aplinkelis prieð tunelá','vaþiuojant pastebëta','Suplëðytos padangos gabalai vaþ. dalyje.','','Alvydas Biliûnas','Gabalai padangos surinkti, iðveþti.','','2017-01-28','17:24'
35,'2017-01-28','18:55','Mindaugo sankr.','Policija','Autoávikis.','','Alvydas Biliûnas','Duþenos surinktos, iðveþtos. Iðsiliejas tepalas neutralizuotas sunaudota (5kg) sauso sorbento.','','2017-01-28','19:28'
36,'2017-01-28','19:00','Vytenio 50','BPC','Vaþiuojamoje dalyje statybinës ðiukðlës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-01-28','19:40'
37,'2017-01-28','19:28','Kauno 17','vaþiuojant pastebëta','Plastikinio vamzdþio gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-01-28','19:30'
38,'2017-01-28','19:30','Kauno 29','','Vaþiuojamoje dalyje padanga.','','Alvydas Biliûnas','Paimta iðveþta.','','2017-01-28','19:38'
39,'2017-01-28','21:00','Konduktoriø 4','112','Kiemæ ið ðulinio teka vanduo.','Vandentiekio avarinë tel 1889 Antanas','Alvydas Biliûnas','Ánformacijà perduota.','','2017-01-28','21:04'
40,'2017-01-28','23:05','Vakarinisw aplinkelis','BPC','Ties posukiu á Gineitiðkes vaþ. dalyje duobës.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,2m3)','','2017-01-28','23:45'
