'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-02-13',,'Linksmoji Parko 69','pastebëta.','Atviras trapas vaþ. dalyje.','','Alvydas Biliûnas','Uþdëta naujomis metalinëmis grotelëmis.','','2017-02-13','14:25'
2,'2017-02-13','04:40','Riovoniø 2A','BPC','Vaþiuojamoje dalyje duþenos.','','Alvydas Biliûnas','Duþenos surinktos, iðveþtos vieta iðvalyta','','2017-02-13','05:00'
3,'2017-02-13','05:12','Kapsø 22','Pastebëta vaþiuojant','Padangos ðaligatvyje.','','Alvydas Biliûnas','Paimtos, iðveþtos (2vnt)','','2017-02-13','05:20'
4,'2017-02-13','07:20','Architektø 98','Kaþukauskas','Ið ðulinio teka neðvarus vanduo.','Vandentiekio avarinë 1889','Alvydas Biliûnas','Ánformacijà perduota.','','2017-02-13','07:25'
5,'2017-02-13','07:42','Olandø Kriviø sankr.','Policija','Autoávikis','','Alvydas Biliûnas','Duþenos surinktos, iðveþtos . Iðsiliejàs tepalas neutralizuotas sunaudota (10kg) sauso sorbento.','','2017-02-13','09:05'
6,'2017-02-13','08:35','Maciulevièiaus  53','pastebëta vaþiuojant.','Vaþiuojamoje dalyje suplëðytos padangos gabalai.','','Alvydas Biliûnas','Padangos gabalai surinkti, iðveþti.','','2017-02-13','08:50'
7,'2017-02-13','08:42','Vakarinis aplinkelis Prieð tunelá','vaþiuojant pastebëta.','Padanga.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-13','08:45'
8,'2017-02-13','08:48','Vakarinis aplinkelis ties posukiu.','Vaþiuojant pastebëta.','Duslintuvo gabalas.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-13','08:48'
9,'2017-02-13','08:50','Kirtimø Eiðiðkiø pl.','BPC','Nulauþtas þenklas kelio.','UAB" Biseris" 868620381','Alvydas Biliûnas','Patrauktas á kelkraðtá ánformacijà perduota.','','2017-02-13','09:15'
10,'2017-02-13','08:50','Vakarinis aplinkelis','pastebëta vaþiuojant','Duþenos statybinio blokelio vaþ. dalyje. ','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-13','08:55'
11,'2017-02-13','08:55','Salininkø Raisteliø sank.','BPC','Vaþiuojamoje dalyje duþenos statybinës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-13','09:25'
12,'2017-02-13','09:00','Vakarinis aplinkelis','vaþiuojant pastebëta.','Vaþiuojant link Gariûnø tilto skardos gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-13','09:02'
13,'2017-02-13','09:05','Kirtimø 23','vaþiuojant pastebëta.','Pravaþiavus kalonëlæ statybinës ðiukðlës.','','Alvydas Biliûnas','Maiðas su ðiukðlëm paimtas, iðveþtas.','','2017-02-13','09:08'
14,'2017-02-13','09:07','Kriviø 2','pastebëta vaþiuojant.','Lentos gabalas vaþ. dalyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-13','09:10'
15,'2017-02-13','09:10','Polocko St.(Bernadinø)','pastebëta vaþiuojant.','Prie sustojimo plytø duþenos.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-13','09:13'
16,'2017-02-13','09:18','Subaèiaus 115B','','Aikðtelëjæ duþenos.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-13','09:24'
17,'2017-02-13','09:25','Salininkø 111','','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,1m3)','','2017-02-13','09:33'
18,'2017-02-13','09:25','Guriø sodø g St. Pavilnio','pastebëta vaþiuojant.','Medþio ðaka vaþ. dalyje.','','Alvydas Biliûnas','Patraukta á kelkraðtá.','','2017-02-13','09:30'
19,'2017-02-13','09:30','Salininkø 129','pastebëta vaþiuojant.','Duobës vaþ. dalyje.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,1m3)','','2017-02-13','09:40'
20,'2017-02-13','09:30','Salininkø Pupinës sankr.','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,2m3)','','2017-02-13','09:45'
21,'2017-02-13','09:35','Minsko pl. 14','vaþiuojant pastebëta','Padanga.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-13','09:36'
