'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-02-21','07:20','Grybo V. 17','BPC','Pilnas kanalizacijos ðulinys.','Vandentiekio avarinë tel. 1889','Alvydas Biliûnas','Ánformacijà perduota.','','2017-02-21','07:30'
2,'2017-02-21','07:30','Paðilaièiø 2','Vaðkevièius','Ðuo guli ant ðaligatvio suþeistas.','','Alvydas Biliûnas','Praneðë , kad ðuná pasiëmë patys ðeimininkai.','','2017-02-21','07:40'
3,'2017-02-21','07:40','Rinktinës 3','112','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta duobë smëlio skaldos miðiniu (0,1m3)','','2017-02-21','08:15'
4,'2017-02-21','08:00','Sruogos B. 10','Bernadiðius','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta smëlio skaldos miðiniu (0,1m3)','','2017-02-21','08:32'
5,'2017-02-21','08:00','Oginskio M.K.','Bernadiðius','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos smëlio skaldos miðiniu (0,2m3)','','2017-02-21','08:25'
6,'2017-02-21','08:10','Grybo V. 23/18','','Gale namo uþsikimðæs LN trapas.','LN tarnyba R. Zabarovskis.','Alvydas Biliûnas','Ánformacijà perduota.','','2017-02-21','08:15'
7,'2017-02-21','08:36','Sruogos B. 37/55A','vaþiuojant pastebëta.','Iðirusios (3vnt) gulinèio policininko dalis.','','Alvydas Biliûnas','Paimtos atveþtos á UAB" Grinda" sandelá.','','2017-02-21','08:42'
8,'2017-02-21','08:40','Verkiø 44','BPC','Atviras ðulinys aikðtelëje.','','Alvydas Biliûnas','Uþdengtas tuo paèiu dangèiu.','','2017-02-21','09:05'
9,'2017-02-21','08:50','Trainio','vaþiuojant pastebëta ','Duþenos vaþiuojamoje dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-21','09:00'
10,'2017-02-21','09:00','Didþioji 27','112','Negyvas ðuo ðaligatvyje.','BGKT tel.865228053','Alvydas Biliûnas','Ánformacijà perduota.','','2017-02-21','09:05'
11,'2017-02-21','09:05','Kalvarijø 174','pastebëta vaþiuojant .','Padanga.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-21','09:06'
12,'2017-02-21','09:10','Verkiø 29','vaþiuojant pastebëta','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-21','09:14'
13,'2017-02-21','09:12','Ozo St. (Licëjaus)','pastebëta.','Prie stotelës buitinës ðiukðlës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-21','09:12'
14,'2017-02-21','09:12','Kalvarijø 148','Pastebëta vaþiuojant.','Nuversti laikini kelio þenklai.','','Alvydas Biliûnas','Þenklai kurie buvo nuversti atstatyti á vieta.','','2017-02-21','09:15'
15,'2017-02-21','09:15','Geleþinio vilko','Pastebëta vaþiuojant.','Pravaþiavus tunelá duþenos.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-21','09:21'
