'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-02-25','06:50','Gedimino pr. Jakðto','112','Neveikia ðviesoforas','CEV 868662273','Alvydas Biliûnas','Ánformacija perduota.','','2017-02-25','06:55'
2,'2017-02-25','08:20','Kalvarijø 143','BPC','Vaþiuojamoje dalyje atviras ðulinys.','LN. tarnyba  R. Zabarovskis.','Alvydas Biliûnas','Sulauþytas ðulinio LN korpusas Uþdëtas manevrinis ir pastatyta vertikali gairë.','','2017-02-25','09:15'
3,'2017-02-25','08:30','Þemynos 21-48','Maþeikienë','Suduþo termometras','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-25','09:50'
4,'2017-02-25','09:30','Ukmergës','','Patikrinta:','','Alvydas Biliûnas','Ukmergës g. ties posukiu á vakariná aplinkelá lasikini kelio þenklai patikrinti prie LN ðulinio stovi vietoje.','','2017-02-25','09:30'
5,'2017-02-25','09:50','Pramonës 203','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,2m3)','','2017-02-25','10:35'
6,'2017-02-25','09:50','Architektø 162','BPC','Atviras ðukinys ðaligatvyje.','','Alvydas Biliûnas','Ðulinys LN uþdengtas nauju G/B dangèiu.','','2017-02-25','10:10'
7,'2017-02-25','10:00','Pramonës 193','BPC','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,2m3)','','2017-02-25','10:50'
8,'2017-02-25','10:00','Juodasis kelias','pastebëta vaþiuojant.','Prie stotelës vaþiuojamoje dalyje medþio ðaka.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-25','10:05'
9,'2017-02-25','10:10','Dþiaugsmo 19','pastebëta vaþiuojant.','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-25','10:14'
10,'2017-02-25','10:22','Parko 52','pastebëta vaþiuojant','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-25','10:27'
11,'2017-02-25','10:22','Architektø St. Ryto.','vaþiuojant pastebëta','Prie sustojimo ðiukðlës vaþ. dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-25','10:27'
12,'2017-02-25','10:55','Ðiaurës Kojelavièiaus sank.','','Patikrinta:','','Alvydas Biliûnas','Darbai atlikti laikini þenklai paimti, iðveþti.','','2017-02-25','10:55'
13,'2017-02-25','11:00','Kojelavièiaus A.V. 1','pastebëta vaþiuojant','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-25','11:05'
14,'2017-02-25','11:20','Dzûkø 77','Pastebëta vaþiuojant.','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-25','11:25'
15,'2017-02-25','11:28','Gerosios vilties 22A','Pastebëta vaþiuojant.','Ant vaþiuojamos dalies betono gabalas.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-02-25','11:30'
16,'2017-02-25','12:15','Liepkalnio 112A','112','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-25','13:30'
17,'2017-02-25','12:30','S. Neries 57','BPC','Negyvas katinas kiemæ.','','Alvydas Biliûnas','Paimtas nuveþtas á BGKT L. Giros g-tvæ.','','2017-02-25','13:20'
18,'2017-02-25','13:00','Justiniðkiø 75','BPC','Kiemo vaþ. dalyje atviras ðulinys.','','Alvydas Biliûnas','Uþdengtas tuo paèiu dangèiu kuris gulëjo ðalia.','','2017-02-25','13:37'
19,'2017-02-25','13:40','Savanoriø 65','pastebëta','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-25','13:48'
20,'2017-02-25','13:40','Justiniðkiø 86','Pastebëta vaþiuojant.','Padanga.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-25','13:42'
21,'2017-02-25','13:50','Laisvës  pr. Oslo viadukas','pastebëta vaþiuojant.','Po viaduku statybinës ðiukðlës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-25','13:58'
22,'2017-02-25','14:20','Juodasis kelias 74/57','Policija','Vaþiuojamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,1m3)','','2017-02-25','14:55'
23,'2017-02-25','14:50','Juodasis kelias 73A','pastebëta vaþiuojant.','Duobë vaþiuojamoje dalyje.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-25','14:55'
24,'2017-02-25','15:00','Guriø sodø g 131','pastebëta vaþiuojant','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-25','15:05'
25,'2017-02-25','15:05','Juodasis kelias St. (Aðmenëlës)','pastebëta vaþiuojant.','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-25','15:08'
26,'2017-02-25','15:20','Subaèiaus 116A','pastebëta vaþiuojant.','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-02-25','15:25'
27,'2017-02-25','16:35','Geleþinio vilko 11','BPC','Ið ðulinio þaliojoje vejoje verþiasi vanduo.','Vandentiekio avarinë tel.1889 Gytis','Alvydas Biliûnas','Ánformacijà perduota.','','2017-02-25','16:37'
28,'2017-02-25','17:45','Kojelavièiaus A.V. 121','BPC','Negyvas ðuo ðaligatvyje.','','Alvydas Biliûnas','Paimtas nuveþtas á BGKT L. Giros g-tvæ.','','2017-02-25','19:00'
29,'2017-02-25','18:20','Batoro St. (Belmonto)','pastebëta.','Trapas iðkilæs vaþiuojamoje dalyje.','','Alvydas Biliûnas','Trapo korpusas iðvalytas grotelës ástatytos á vieta.','','2017-02-25','18:25'
30,'2017-02-25','18:30','Tuskulënø St. (Katkaus)','vaþiuojant pastebëta.','Prie stotelës buitinës ðiukðlës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-02-25','18:35'
31,'2017-02-25','18:45','Geleþinio vilko','pastebëta vaþiuojant.','Sulauþyta statybinë paletë vaþ. dalyje.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-02-25','18:45'
32,'2017-02-25','19:30','Kalvarijø 161A','Policija','Stotelë (Katkaus) iðdauþyti stotelës paviljono stiklai.','JCDekor Lietuva.','Alvydas Biliûnas','Stiklai surinkti, iðveþti.','','',''
33,'2017-02-25','20:25','Ateities Baltupio','Pastebëta vaþiuojant,','Po viaduku  prie stotelës smëlio dëþë iðstumta.','','Alvydas Biliûnas','Dëþë smëlio atstatyta á vieta.','','2017-02-25','20:30'
34,'2017-02-25','20:30','Ukmergës St. Ðeðkinës.','BPC','Stotelë (Ðeðkinë) iðdauþyti stiklai ','JCDekor Lietuva tel.2730917','Alvydas Biliûnas','Surinkti, iðveþti.','','2017-02-25','20:50'
