'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-03-05','03:35','Liepkalnio St. ( Þirniø))','Policija','Vaþiuojamoje dalyje netoli stotelës duþenos.','','Alvydas Biliûnas','Duþenos surinktos, iðveþtos.','','2017-03-05','04:00'
2,'2017-03-05','05:25','Savanoriø 207','112','Duþenos (autoávikis)','','Alvydas Biliûnas','Surinktos, iðveþtos vieta iðvalyta.','','2017-03-05','05:55'
3,'2017-03-05','07:08','Taikos 79','Baliukevièius','Ðaligatvyje praviras ðulinys.','','Alvydas Biliûnas','Praneðëjæs praneðë telefonu , kad ðuliná uþdarë patys gyventojai.','','2017-03-05','07:15'
4,'2017-03-05','09:20','Kareiviø 143','LN tarnyba.','Darbai atlikti.','','Alvydas Biliûnas','Laikinin þenklai paimti, iðveþti.','','2017-03-05','09:20'
5,'2017-03-05','10:00','Kirtimø 29','BPC','Vaþiuojamoje dalyje statybinës duþenos.','','Alvydas Biliûnas','Duþenos plyteliø surinktos, iðveþtos.','','2017-03-05','10:35'
6,'2017-03-05','10:00','Lentvario 7','BPC','Vaþiuopjamoje dalyje duobës.','','Alvydas Biliûnas','Uþpiltos frezuotu asfaltu (0,m3) 3vnt duobiø ir 2vnt duobiø uþasfaltuota ðaltu asfaltu (50kg)','','2017-03-05','10:30'
7,'2017-03-05','10:02','Eiguliø 16','vaþiuojant pastebëta.','Vaþiuojamoje dalyje lenta.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-03-05','10:05'
8,'2017-03-05','10:17','Pirkliø','','Patikrinta:','','Alvydas Biliûnas','Darbai atlikti. Laikinas þenklas paimtas, iðveþtas.','','2017-03-05','10:17'
9,'2017-03-05','10:20','Oslo 5','Vaþiuojant pastebëta.','Maiðas su ðiukðlëmis kelkraðtyje.','','Alvydas Biliûnas','Paimtas, iðveþtas.','','2017-03-05','10:22'
10,'2017-03-05','10:20','Eiðiðkiø pl. Kirtimø sank.','BPC','Numuðtas kelio þenklas.','El .paðtas " Biseris"','Alvydas Biliûnas','Paimtas iðveþtas á UAB" Grinda"','','2017-03-05','10:45'
11,'2017-03-05','10:20','Geleþinio vilko','vaþiuojant pastebëta.','Prieð tunelá duþenos vaþiuojamoje dalyje.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-03-05','10:25'
12,'2017-03-05','10:33','Þarijø 4A','Pastebëta.','Padanga kelkraðtyje.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-03-05','10:34'
13,'2017-03-05','10:45','Braðkiø 44','','Patikrinta. ','','Alvydas Biliûnas','Darbai neatlikti þenklas paliktas vietoje.','','2017-03-05','10:45'
14,'2017-03-05','10:45','Ateities St. Jonyno.','vaþiuojant pastebëta.','Ðiukðlës prie stotelës.','','Alvydas Biliûnas','Surinktos, iðveþtos.','','2017-03-05','10:50'
15,'2017-03-05','10:47','Salininkø 200','vaþiuojant pastebëta ','Medþio ðaka ant vaþ. dalies.','','Alvydas Biliûnas','Patraukta á kelkraðtá.','','2017-03-05','10:48'
16,'2017-03-05','10:48','Salininkø','vaþiuojant pastebëta.','Kelkraðtyje padanga.','','Alvydas Biliûnas','Paimta, iðveþta.','','2017-03-05','10:49'
17,'2017-03-05','10:50','Druskio V. 6','BPC','Konteineris ðiukðliø iðstumtas á vaþ. dalá','','Alvydas Biliûnas','Konteineris atitrauktas nuo vaþ, dalies.','','2017-03-05','11:10'
18,'2017-03-05','10:55','Salininkø 111','vaþiuojant pastebëta.','Vaþiuojamoje dalyje duobë.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-03-05','10:55'
19,'2017-03-05','11:00','Kelmijos Salininkø sank.','vaþiuojant pastebëta.','Duobë vaþ. dalyje.','','Alvydas Biliûnas','Uþpilta frezuotu asfaltu (0,1m3)','','2017-03-05','11:05'
