'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2017-04-01',,'Savanoriø sankr.','Pastebëta vaþiuojant','Kuro dëmës vaþ. dalyje','','Vytautas Andruðkevièius','Sunaudojus 5ltr. skysto sorbento kuras neutralizuotas. ','','2017-04-01','09:15'
2,'2017-04-01','00:50','Verkiø sankr.','BPC','Vaþ dalyjeb duobës','El. paðtu UAB "Gatviø statyba"','Vytautas Andruðkevièius','Dvi (0,5x0,5x0,1); (0,5x0,5x0,16) avarinës duobës uþtaisytos skaldos smëlio miðiniu. Sunaudota po 0,03m3. Info perduota','','2017-04-01','01:20'
3,'2017-04-01','08:05','Kirtimø po Savanoriø pr.viaduku link Galvës g. ','BPC','Vaþ. dalyje ið ðulinio teka vanduo','','Vytautas Andruðkevièius','Tokio reiðkinio nenustarë, nes ir ðuliniø bei LN trapø nurodytoje vietoje bei prieigose nëra. Matomai po gausaus lietaus gatve tekëjo vanduo.','','2017-04-01','08:45'
4,'2017-04-01','08:55','Savanoriø 180','Pastebëta vaþiuojant','Uþneðtas LN trapas','','Vytautas Andruðkevièius','Ið LN trapo groteliø iðvalytos sànaðos, iðveþtos','','2017-04-01','09:00'
5,'2017-04-01','10:00','Sapiegos sankr.','Petravièius','Sutrûkæs ðulinio dangtis vaþ dalyje','VV disp.  Alinai tel.861611256','Vytautas Andruðkevièius','FN ðulinys uþdengtas manevriniu dangèiu. Pastatyta vertikali gairë. Info perduota ','','2017-04-01','10:40'
6,'2017-04-01','10:40','Klinikø 11','Áraðas 2017.03.28','Patikrinti ar vykdomi darbai','','Vytautas Andruðkevièius','Darbai nepradëti, vertikali gairë vietoje.','','2017-04-01','10:52'
7,'2017-04-01','11:00','Kareiviø sankr. ','Pastebëta vaþiuojant','Vaþ. dalyje stiko ðukës ','','Vytautas Andruðkevièius','Surinktos, iðveþtos','','2017-04-01','11:05'
8,'2017-04-01','11:05','Algirdo 29','Asta','Vaþ. dalyje tvenkiasi vanduo uþsikimðæs LN trapas','Áraðas PNT tarnybai R. Zaborovskiui tel. 865021570','Vytautas Andruðkevièius','LN trapo nepravalëm. Matomai uþsikimðusi linija. Info perduota. ','','2017-04-01','11:50'
9,'2017-04-01','11:10','Verkiø 56','Pastebëta vaþiuojant','Uþneðtas LN trapas vaþ. dalyje','','Vytautas Andruðkevièius','Ið LN trapo groteliø iðvalytos sànaðos, iðveþtos','','2017-04-01','11:15'
10,'2017-04-01','11:20','Verkiø þiedinë sankr. ties autobusø parku','Pastebëta vaþiuojant','Vaþ dalyje duobës','El. paðtu UAB "Gatviø statyba"','Vytautas Andruðkevièius','Dvi avarinës (0,5x0,5x0,09); (0,5x0,4x0,11)  duobës uþtaisytos skaldos - smëlio miðiniu. Sunaudota po 0,025m3. Info perduota ','','2017-04-01','11:30'
11,'2017-04-01','11:25','Galvës sankr. nuo Trakø ','Dovydas','Vaþ dalyje gyvûno gaiðenos liekanos','','Vytautas Andruðkevièius','Nei nurodytoje vietoje, nei jos prieigose jokio gyvûno gaiðenos neradome','','2017-04-01','11:15'
12,'2017-04-01','11:30','Savanoriø 40','Pastebëta vaþiuojant','Automobilio posparnis vaþ. dalyje ','','Vytautas Andruðkevièius','Paimtas, iðveþtas','','2017-04-01','11:32'
13,'2017-04-01','11:40','Algirdo 25','Pastebëta vaþiuojant','Autoávykis - vaþ. dalyje plastiko nuolauþos','','Vytautas Andruðkevièius','Surinktos , iðveþtos','','2017-04-01','11:45'
14,'2017-04-01','11:45','Minsko pl. 21','Pastebëta vaþiuojant','Vaþ. dalyje duobës','El. paðtu i. Rinkevièiui','Vytautas Andruðkevièius','Dvi avarinës (0,8x0,5x0,1); (0,6x0,5x0,1) duobës uþtaisytos skaldos - smëlio miðiniu. Sunaudota po 0,04m3. Info perduota','','2017-04-01','11:55'
15,'2017-04-01','12:00','Justiniðkiø ties posûkiu á Pumpënø g.','Dovidas','Vaþ. dalyje negyvas paukðtis','','Vytautas Andruðkevièius','Jokio paukðèio neradome, paimta darbinë pirðtinë,. iðveþta','','2017-04-01','12:45'
16,'2017-04-01','12:05','Þilvièiø link Versmiø g.','Áraðas 2017.03.16','Patikrinti ar atlikti darbai','','Vytautas Andruðkevièius','Darbai nepradëti, tvorelës vietoje.','','2017-04-01','12:10'
17,'2017-04-01','12:15','Galvës sankr. ','Pastebëta vaþiuojant','Autoávykis -vaþ. dalyje ðukës  ','','Vytautas Andruðkevièius','Ðukës surinktos, iðveþtos','','2017-04-01','12:20'
18,'2017-04-01','12:16','Juodasis kelias sankr.','Pastebëta vaþiuojant','Vaþ .dalyje plastiko gabalai','','Vytautas Andruðkevièius','Surinkti, iðveþti','','2017-04-01','12:20'
19,'2017-04-01','12:30','Minsko pl. 10','Pastebëta vaþiuojant','Rato gaubtas vaþ. dalyje','','Vytautas Andruðkevièius','Paimtas ,iðveþtas','','2017-04-01','12:33'
20,'2017-04-01','12:40','Gudø 5','Áraðas 2017.03.28','Patikrinti ar pradëti darbai','','Vytautas Andruðkevièius','Darbai nepradëti. Ant ðaligatvio pastatyta vertikali gairë vël pastatyta prie ðulinio.','','2017-04-01','12:43'
21,'2017-04-01','12:50','Justiniðkiø sankr. ','Pastebëta vaþiuojant','Vaþ. dalyje kilimëlis ','','Vytautas Andruðkevièius','Sintetinis kilimëlis paimtas, iðveþtas','','2017-04-01','12:52'
