'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2018-05-05','04:12','Goðtauto 2','VPK','Stiklo dûþenos vaþ.dalyje.','','Rita Zarauskienë','Stiklo dûþenos surinktos ir iðveþtos.','','2018-05-05','04:24'
2,'2018-05-05','07:40','Gedimino pr.','Bud.operatorius','Gëliniø atitraukimas,eismo atidarymas.','','Rita Zarauskienë','Gëlinës atstumtos,eismas atidarytas.','','2018-05-05','09:57'
3,'2018-05-05','07:56','Savanoriø prie degalinës Baltic petroleum salelëje.','Budintis operatorius','Manevriná dangtá pakeisti á naujà g/b.','','Rita Zarauskienë','Manevrinis dangtis pakeistas nauju g/b dangèiu.','','2018-05-05','10:14'
4,'2018-05-05','07:59','Kirtimø 57 C tarp 57 D','Budintis operatorius.','Pakeisti manevriná dangtá á naujà g/b.','','Rita Zarauskienë','Manevrinis dangtis pakeistas nauju g/b dangèiu,gairë palikta.','','2018-05-05','10:27'
5,'2018-05-05','08:35','Auðros vartø','E.Garbovskis','Apsauginiø tvoreliø pristatymas.','','Rita Zarauskienë','Apsauginës tvorelës pristatytos á Auðros vartø g.kur vyks eitynës (40 vnt. ).','','2018-05-05','09:09'
6,'2018-05-05','10:34','Ðeðkinës 22 A','Bud operatorius','Þenklø patikrinimas.','aurimas.kalasauskas@YIT.lt','Rita Zarauskienë','Pastatyta gairë ant smegduobës,linijos jokios nepraeina.Informacija perduota.','','2018-05-05','17:53'
7,'2018-05-05','10:36','Kriviø','Bud.operatorius','Laikinø þenklø patikrinimas.','','Rita Zarauskienë','Darbai atlikti,tvorelës paimtos.','','2018-05-05','13:29'
8,'2018-05-05','10:38','Vytenio 55','Bud.operatorius','Laikinø þenklø patikrinimas.','','Rita Zarauskienë','Darbai atlikti,gairë ir tvorelë paimtos.','','2018-05-05','11:11'
9,'2018-05-05','10:40','Minties 42','Budintis operatorius','Laikinø þenklø patikrinimas.','','Rita Zarauskienë','Darbai neatlikti,tvorelë palikta.','','2018-05-05','11:31'
10,'2018-05-05','11:10','Þirniø 15','Policija','Degë automobilis.','','Rita Zarauskienë','Ðiukðlës surinktos,vieta iðvalyta panaudojant skystà (6 l sorbento).','Naftos ploviklis  (6 LTR)','2018-05-05','14:03'
11,'2018-05-05','11:34','Gerovës tarp 3 ir 5 ir 9 namø','el.paðtas jurgita.palioniene@vilnius.lt','Ávaþiavime á kiemà ágriûvos.','I.rinkevicius@grinda.lt','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,1 m³) .Informacija perduota.','Alsfalbetinis frezuotas (.1 M3)','2018-05-05','11:59'
12,'2018-05-05','12:53','Grybo V. 34','Eventas Raulintaitis','Ið maðinos bëga tepalai.','','Rita Zarauskienë','Tepalai neutralizuoti 2 kg.sauso sorbento.','','2018-05-05','13:16'
13,'2018-05-05','14:06','Auðros vartø','Bud.operatorius','Apsauginiø tvoreliø surinkimas.','','Rita Zarauskienë','Apsauginës tvorelës surinktos ir iðveþtos.(40 vnt.)','','2018-05-05','15:28'
14,'2018-05-05','14:09','Gedimino pr.','Budintis operatorius','Gëliniø atstatymas á savo vietas,eismo uþdarymas.','','Rita Zarauskienë','Gëlinës atstatytos,eismas uþdarytas.','','2018-05-05','15:48'
15,'2018-05-05','16:55','Vilniaus (Grigiðkës) prie degalinës Viada','BPC','Vaþ.dalyje prie degalinës Viada gyvûnas .','','Rita Zarauskienë','Gyvûno gaiðena nerasta.','','2018-05-05','17:21'
16,'2018-05-05','18:44','Vydûno 4 prie Rimi pica Max terasos','Laurynas','Katino gaiðena.','','Rita Zarauskienë','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Pirðtinës vienkartinës nitrilinës (2 VNT), Maiðai ðiukðlems  (1 VNT)','2018-05-05','19:41'
17,'2018-05-05','19:44','Puðyno kelias prie suaug.sanatorijos.','Jadvyga','Duobë vaþ.dalyje.','','Rita Zarauskienë','4.3 Duobë laikinai uþpilta frezuotu asfaltu (0,05m³) ','Alsfalbetinis frezuotas (.05 M3)','2018-05-05','20:14'
18,'2018-05-05','20:11','Liepkalnio 55','Aplinkosauga','Stirnos gaiðena vaþ.dalyje.','','Rita Zarauskienë','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Pirðtinës vienkartinës nitrilinës (4 VNT), Maiðas PP 65*105cm su plëvele (1 VNT)','2018-05-05','20:36'
19,'2018-05-05','21:17','Virðuliðkiø','BPC','Iðfrezuotas asfaltas.','','Rita Zarauskienë','Paruoðta asfaltavimui.Þenklai atstatyti vyksta remonto darbai.','','2018-05-05','21:40'
20,'2018-05-05','22:39','Þirmûnø 2','BPC','Katino gaiðena..','','Rita Zarauskienë','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Pirðtinës vienkartinës nitrilinës (2 VNT), Maiðai ðiukðlems  (1 VNT)','2018-05-05','23:59'
