'EilNr','pData','Laikas','Adresas','Pranesejas','AvarinesVietosAprasymas','Pranesta','Dispeceris','Darbai','Medziagos','PabData','PabLaikas'
1,'2018-06-02','07:29','Saulëtekio alëja 32','Policija','Aplinkos sutvarkymas po autoávykiø','','Rafal Raèko','5.2 Vieta po autoávykio sutvarkyta.','Absorbentas birus universalus UEDX020 (5 KG)','2018-06-02','08:29'
2,'2018-06-02','07:35','Savanoriø 38','Vidmantas','Biotualetai á paplûdimá','','Rafal Raèko','Nuveþta','','2018-06-02','08:35'
3,'2018-06-02','09:04','Goðtauto 11','Vidmantas','Biotualetai á paplûdimá','','Rafal Raèko','Nuveþta','','2018-06-02','10:04'
4,'2018-06-02','10:04','Justiniðkiø 51','Aurimas','Ágriûvæs LN trapas','Informacija perduota UAB Grinda R. Zabarovskis (þurnale)','Rafal Raèko','12.1 Informacija perduota ','','2018-06-02','11:04'
5,'2018-06-02','11:46','Alkûnës 7','Tomas','Ágriûva vaþ. kelio dalyje','Informacija perduota Vilniaus vandenims (telefonu)','Rafal Raèko','12.1 Informacija perduota. Pastatyta ver. gairë.','','2018-06-02','12:46'
6,'2018-06-02','12:00','Gedimino pr.','Vilniaus m. Savivaldybë','Gedimino prospekto atidarymas','','Rafal Raèko','Gedimino prospektas atidarytas','','2018-06-02','13:00'
7,'2018-06-02','12:14','Þirmûnø 83','Karolina 15min','Nugaiðusiø gyvûnø surinkimas','','Rafal Raèko','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Ðiukðliø maiðai (1 VNT), Pirðtinës vienkartinës nitrilinës (2 VNT)','2018-06-02','13:14'
8,'2018-06-02','13:00','Gedimino pr.','Vilniaus m. Savivaldybë','Gedimino prospekto uþdarymas','','Rafal Raèko','Gedimino prospektas uþdarytas','','2018-06-02','13:30'
9,'2018-06-02','13:34','Justiniðkiø 144','Albertas','Ágriûva vaþ. kelio dalyje','Informacija perduota UAB Telia (telefonu)','Rafal Raèko','12.1 Informacija perduota ','','2018-06-02','14:34'
10,'2018-06-02','16:18','Savanoriø 47','Rafal','Þenklø patikrinimas','','Rafal Raèko','12.2 Laikinøjø þenklø patikrinimas. Vert. gairë paimta.','','2018-06-02','17:18'
11,'2018-06-02','16:21','Þirmûnø 72','Rafal','Þenklø patikrinimas','','Rafal Raèko','12.2 Laikinøjø þenklø patikrinimas. Nerasta','','2018-06-02','17:21'
12,'2018-06-02','16:24','Borutos','Rafal','Þenklø patikrinimas','','Rafal Raèko','12.2 Laikinøjø þenklø patikrinimas. Nerasta.','','2018-06-02','17:24'
13,'2018-06-02','17:36','Vokieèiø 24','Dovilë','Netvarkingos plytelës','','Rafal Raèko','12.4 Avarinës vietos sutvarkymas. Plytelës pataisytos.','','2018-06-02','18:36'
14,'2018-06-02','18:07','Justiniðkiø / Virbeliðkiø g.','Albertas','Sankryþoje ádûbà','Informacija perduota Vilniaus vandenims (telefonu)','Rafal Raèko','12.1 Informacija perduota. Pastatyta vert. gairë.','','2018-06-02','19:07'
15,'2018-06-02','18:32','Þemaitës 5C','BPC','Ið automobilio bëga tepalai','','Rafal Raèko','Tepalai surinkti','Absorbentas birus universalus UEDX020 (3 KG)','2018-06-02','19:32'
16,'2018-06-02','21:00','Spalio 11','Petrauskas','Termometras','','Rafal Raèko','1.1 Paimtas 1 (vienas) buitinis termometras su gyvsidabriu ir perduotas utilizavimui;','','2018-06-02','21:30'
17,'2018-06-02','21:13','Verkiø / Lakûnø','Nerijus','Ágriûva vaþ. kelio dalyje','Informacija perduota UAB Grinda R. Zabarovskiui','Rafal Raèko','12.1 Informacija perduota. Pastatyta vert. gairë.','','2018-06-02','22:13'
18,'2018-06-02','22:05','Architektø 170','Julija Rusakovaitë','Nugaiðusiø gyvûnø surinkimas','','Rafal Raèko','2.1 Gyvûno gaiðena perduota Vilniaus benamiø gyvûnø sanitarinei tarnybai (VBGST);','Pirðtinës vienkartinës nitrilinës (2 VNT), Maiðai ðiukðlems  (1 VNT)','2018-06-02','23:05'
19,'2018-06-02','23:00','Rotuðës a.','Neprisistatë','Teka fontanas á gatvë','Informacija perduota Vilniaus vandenis (telefonu)','Rafal Raèko','12.1 Informacija perduota ','','2018-06-02','23:30'
