Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/02/15,07:09,Savanorių pr.178F.,BPC,Važ. gatvės dalyje praviras šulinys ir numuštas sulaužytas laikinas ženklas.,"Dangtis įstatytas į vietą sulaužyta vert. gairė pakeista pastatyta ant šulinio. V. vandentiekio avarinės šulinys.Avarinė vandentiekio įnformavo ,kad ne jų šulinys o V. energijos perduota V. energijai 2653591 Karalius.",2016/02/15,
2,2016/02/15,07:25,Džiaugsmo g.44,BPC,Kelkraštyje negyvas šuo.,,2016/02/15,
3,2016/02/15,07:40,Bajorų kelias važ. link autobusų žiedo.,BPC,Padangos važ. dalyje.,"Paimtos, išvežtos (2vnt)",2016/02/15,08:15
4,2016/02/15,07:54,Šaltkalvių g.16,Kavoliūnas,Atviras šulinys žaliojoje vejoje.,Uždengtas tuo pačiu dangčiu,2016/02/15,08:35
5,2016/02/15,08:09,Žirnių g. po D. ir Girėno viaduku.,BPC,Važ. gatvės dalyje duobės.,Užasfaltuota šaltu asfaltu (4vnt) duobių. Sunaudota (200kg) šalto asfalto.,2016/02/15,09:10
6,2016/02/15,08:24,Justiniškių g.16,Vandentiekio avarinė (Grimža disp.),Važ. gatvės dalyje prasėdęs 2-troje juostoje šulinys.,LN. Šulinys reikalingas korpuso remontas. Pastatyta vert. Gairė.,2016/02/15,
7,2016/02/15,08:42,Oslo g. pravažiavus viaduka.,BPC,Trapų grotelės iškilusios važ. dalyje,Nuvalytos atstatytos į vieta.,2016/02/15,09:22
8,2016/02/15,09:05,Medeinos g.23,BPC,Atviras šulinys šaligatvyje.,Uždengtas tuo pačiu dangčiu,2016/02/15,09:50
9,2016/02/15,09:30,Medeinos g.,važiuojant pastebėta,Sulaužyta plastikinės taros dėžė.,"Surinkta, išvežta.",2016/02/15,09:35
10,2016/02/15,10:00,Eigulių g.,,Darbai atlikti,"Laikinas ženklas paimtas, išvežtas.",2016/02/15,
11,2016/02/15,10:25,Galvės/Kirtimų sankrž.,,Negyvas šuo kelkraštyje.,Nuvykus pagal adresą negyvo šuns nerasta.,2016/02/15,
12,2016/02/15,10:30,Tūkstantmečio g. važ. link Pilaitės.,Policija,Automobilio padanga kelkraštyje.,"Paimta, išvežta (1vnt)",2016/02/15,10:45
13,2016/02/15,10:41,Žirmūnų g.56,BPC,Atviras šulinys prie namo žalioje vejoje.,Uždengtas tuo pačiu dangčiu.,2016/02/15,11:20
14,2016/02/15,11:00,Žolyno g.,Martinkevič,Važ. gatvės dalyje duobės.,Prie V. vandenų šulinio įgriuva ir nusėdęs šulinys  Pastatyta vaert. Gairė.,2016/02/15,
15,2016/02/15,11:05,Tauro kalnas prieš profsajungos rūmus,,"Nuvežti smėlio (2m3) ir apsauginių tvorelių ""Vasario-16 sios"" švetiniam renginui.","Nuvežta (2m3) smėlio ir apsauginių tvorelių ( 8vnt.)        Dirbo automašina ""MAN"" ir du (2) darbininkai 1-na val.",2016/02/15,12:10
16,2016/02/15,11:26,Pamėnkalnio g.21,,Gatvėję išsilieją tepalai.,Tepalai išsilieją išvalyti sunaudota (3kg) sauso sorbento.,2016/02/15,12:00
17,2016/02/15,11:50,Stanevičiaus g.17,Pavilionis,Žaliojoje vejoje prie šulinio įgriuva.,"Įgriuva prie LN šulinio. Užpilta smėliu (0,1m3)",2016/02/15,12:55
18,2016/02/15,12:27,Ozo g. link Šeškinės,Policija,Autoįvykis,"Duženos surinktos, išvežtos gatvė sutvarkyta.",2016/02/15,13:34
19,2016/02/15,12:48,Įsrūties/Pilaitės pr.,BPC,Važ. dalyje išbyrėjas gruntas.,"Surinkta, išvežta.",2016/02/15,13:50
20,2016/02/15,13:05,Grybo g.19,D. Baltrušaitienė       El. paštas,Prie šulinio važ. dalyje prieš nama duobė.,Užasfaltuota šaltu asfaltu  duobė. Sunaudota (25kg) ,2016/02/15,14;15
21,2016/02/15,13:05,Antakalnio g.26,D. Baltrušaitienė       El. paštas,Prie šulinio duobė.,Nuvykus pagal adresą avarinių duobių nerasta.,2016/02/15,
22,2016/02/15,13:15,"Minsko pl. Prieš PC ""MAXIMA"" po kairę pusę.",112,Važ. dalyje duobės.,"Užtaisyta frezuotu asfaltu (0,2m3)",2016/02/15,14:00
23,2016/02/15,13:34,Giedraičių g.59,BPC,Gatvės važ. dalyje praviras šulinys,Nuvykus pagal adresą atviro šulinio nerasta.,2016/02/15,
24,2016/02/15,13:50,Molėtų pl/Mokslininkų sankryža.,Jurgelionis,Važ. dalyje išbyrėjusios statybinės atliekos.,"Statybinės atliekos surinktos, išvežtos gatvė išvalyta.",2016/02/15,14:50
25,2016/02/15,14:00,Naujininkų g.5,El. paštas                 T. Četovičius,Važ. gatvės dalyje duobės.,"Užpilta frezuotu asfaltu (2vnt) duobių (0,1m3)",2016/02/15,14:30
26,2016/02/15,14:15,Molekalnio g.100A,Atviras šulinys kelkraštyje.,Atviras šulinys,Nuvykus pagal adresą atviro šulinio nerasta.,2016/02/15,
27,2016/02/15,14:45,Liepkalnio g./ Minsko pl. sank.,Važiuojant pastebėta,Ledo gabalas ant važ. kelio dalies.,Nustumtas nuo važ. dalies ant kelkraščio.,,15:20
28,2016/02/15,15:08,G. Vilko g. (tunelyje),Važiuojant pastebėta,Automobilio  padangos gabalas suplyšęs.,"Paimtas, išvežtas.",2016/02/15,15:10
29,2016/02/15,15:42,Verkių g.50,BPC,Iškilęs trapas važ. dalyje,Trapo korpusas ir grotelės išvalytos įstatytos į vieta.,2016/02/15,16:34
30,2016/02/15,16:00,Rukeliškių g.33,Gabrienė,Medžio šaka pavojingai kabo virš važ. dalies.,Nutraukta į kelkraštį.,2016/02/15,17:00
31,2016/02/15,16:10,Musninkų g.20-53,Abromaitis,Sudužo termometras,,2016/02/15,18:00
32,2016/02/15,16:12,Architektų g.204,El. paštas                 A. Visockas,Atviras šulinys pėsčiūjų take.,Uždengtas tuo pačiu G/B dangčiu kuris gulėjo šalia.,2016/02/15,16:34
33,2016/02/15,16:36,G. Vilko g. važ. link Vingio parko.,BPC,Važ. gatvės dalyje polistirolo gabalai iškritę.,"Surinkti, išvežti.",2016/02/15,17:20
34,2016/02/15,16:55,Švitrigailos /Kauno sankryža.,BPC,Gatvės važ dalyje duženos.,"Duženos surinktos, išvežtos.",2016/02/15,17:45
35,2016/02/15,17:15,Džiaugsmo g.130,,Negyva stirna žal. vejoje guli.,Nuvykus pagal adresą stirnos nerasta.,2016/02/15,
36,2016/02/15,17:34,Įsrūties g.10-80,Urbelis,Sudužo termometras,"Paimtas, išvežtas.",2016/02/15,19:10
37,2016/02/15,18:25,Vydūno g.17,važiuojant pastebėta,Nuolaužos medinės paletės.,"Surinktos, išvežtos.",2016/02/15,18:35
38,2016/02/15,19:15,Rygos g.17,Janukėnas,Išstumtas ir apverstas šiuklių konteineris į važ. dalį.,"Konteineris atstatytas į vieta, šiukšlės surinktos sukrautos į konteinerį.",2016/02/15,20:00
39,2016/02/15,19:35,Lentvario g.7 ,Policija,Kelkraštyje avarinės duobės.  ,Užpilta laikinai frezuotu asfaltu (1m3),2016/02/15,21:15
40,2016/02/15,20:10,Laisvės pr.42-85,Jastafjeva,Sudužo termometras,"Paimtas, išvežtas.",2016/02/15,22:00
41,2016/02/15,20:15,Verkių g.44,112,Prie šulinio išpjautas asfaltas nėra avarinių ženklų.,"Nustatyta, kad prie FK šulinio  važ. dalyje vykdomi remonto darbai.Pastatyta vert. Gairė.",2016/02/15,
42,2016/02/15,21:30,Šaltkalvių /Darbininkų sank.,BPC,Stiklo duženos važ. gatvės dalyje.,"Surinktos, išvežtos.",2016/02/15,22:25
43,2016/02/15,22:55,Savanorių pr.178F.,Policija,Numuštas laikinas kelio ženklas.,Ženklas vert. Gairė atstatyta į vieta.,2016/02/15,23:30
44,2016/02/16,0.006944,Antakalnio/Šilo sankryža,112,Autoįvykis,"Duženos surinktos, išvežtos",2016/02/16,0.052083
45,2016/02/16,04:55,Liepkalnio g.8,BPC,Važ. kelio dalyje medžio šakos.,"Surinktos, išvežtos.",2016/02/16,06:00
