Eil. Nr.,Data,Laikas,Avarinė vietos adresas, Pranešėjas,Avarinės vietos aprašymas (kas įvyko),Avarinės tarnybos atlikti darbai,Atžyma apie darbų pabaigą. Data,Atžyma apie darbų pabaigą. Laikas.
1,2016/02/24,07:00,Ties Geležinio Vilko tiltu.,,"Iš lietaus kolektoriaus į upę teka naftos produktai < 2016.02.23 įrašas >
Bonų patikrinimas.",Patikrinta. Bonai švarus- palikti.  Ant vandens paviršiaus pripilta plaukiančiojo sauso sorbento (5kg),2016/02/24,07:25
2,2016/02/24,07:30,Savanorių pr. 174,VPK,Numuštas laikinas kelio ženklas.,"Vertikali gairė atstatyta ant prasėdusio VV Vandentiekio tinklų šulinio. Papildomai pastatyta dar viena vertikali gairė.
Informacija perduota.
---------------------
VV Vandentiekio tinklų avarinė į užklausą atskė, jog šulinys priklauso UAB ""Vilniaus energijai"" ",,
3,2016/02/24,07:48,Vilkpėdės g. 20,,"Stiklo duženos važiuojamoje gatvės dalyje
[pastebėta važiuojant]","Surinkta ir išvežta, vieta išvalyta",2016/02/24,08:00
4,2016/02/24,08:13,Naugarduko g. 100,,"Ratlankio gaubtas važiuojamoje gatvės dalyje
[pastebėta važiuojant]",Paimta ir išvežta,2016/02/24,08:18
5,2016/02/24,08:40,"Jeruzalės g. 4
< 2016.02.08 įrašas >
[laikinų įspėjimo ženklų patikrinimas]",,"< Įgriuva stovėjimo aikštelėje, važiuojamoje gatvės dalyje virš FN tinklų linijos >
[tvorelės (2vnt.) ir STOP juosta]",Patikrinta. Remonto darbai neatlikti.,2016/02/24,08:45
6,2016/02/24,08:55,"Viršuliškių g. /
Ąžuolyno g.",BPC,Atviras šulinys važiuojamoje gatvės dalyje,Nurodytu adresu atviro šulinio nerasta.,2016/02/24,09:20
7,2016/02/24,09:17,Juozapavičiaus g. 5,,Prasėdęs šulinys kieme,"Įgriuva prie LN tinklų trapo
Nr. 217. Stovėjo tvorelė",,
8,2016/02/24,09:30,Gerosios Vilties g. 17A,,"Betono gaminių duženos gatvės kelkraštyje
[pastebėta važiuojant]",Surinkta ir išvežta,2016/02/24,09:41
9,2016/02/24,09:50,Gedimino pr.,Darius,Važiuojamoje gatvės dalyje trinkelių liekanos,Trinkelių liekanos surinktos ir išvežtos,2016/02/24,10:30
10,2016/02/24,10:13,Ozo g. sukant į Buivydiškių g.,Vaidas,"Duobė važiuojamoje gatvės dalyje, pirmoje juostoje",Duobė laikinai užpilta šaltu asfaltu (25 kg),,
